Date;Filière;Valeur (TWh);Nature
2005-04;"Thermique renouvelable et déchets";0,2781;Données Consolidées
2005-05;"Thermique renouvelable et déchets";0,2781;Données Consolidées
2005-06;"Thermique renouvelable et déchets";0,2781;Données Consolidées
2005-07;"Thermique renouvelable et déchets";0,2781;Données Consolidées
2005-08;"Thermique renouvelable et déchets";0,2781;Données Consolidées
2005-09;"Thermique renouvelable et déchets";0,2781;Données Consolidées
2005-10;"Thermique renouvelable et déchets";0,2781;Données Consolidées
2005-11;"Thermique renouvelable et déchets";0,2781;Données Consolidées
2005-12;"Thermique renouvelable et déchets";0,2781;Données Consolidées
2006-01;"Thermique renouvelable et déchets";0,2783;Données Consolidées
2006-02;"Thermique renouvelable et déchets";0,2783;Données Consolidées
2006-03;"Thermique renouvelable et déchets";0,2783;Données Consolidées
2006-04;"Thermique renouvelable et déchets";0,2783;Données Consolidées
2006-05;"Thermique renouvelable et déchets";0,2783;Données Consolidées
2006-06;"Thermique renouvelable et déchets";0,2783;Données Consolidées
2006-07;"Thermique renouvelable et déchets";0,2783;Données Consolidées
2006-08;"Thermique renouvelable et déchets";0,2783;Données Consolidées
2006-09;"Thermique renouvelable et déchets";0,2783;Données Consolidées
2006-10;"Thermique renouvelable et déchets";0,2783;Données Consolidées
2006-11;"Thermique renouvelable et déchets";0,2783;Données Consolidées
2006-12;"Thermique renouvelable et déchets";0,2783;Données Consolidées
2007-01;"Thermique renouvelable et déchets";0,3153;Données Consolidées
2007-02;"Thermique renouvelable et déchets";0,3153;Données Consolidées
2007-03;"Thermique renouvelable et déchets";0,3153;Données Consolidées
2007-04;"Thermique renouvelable et déchets";0,3153;Données Consolidées
2007-05;"Thermique renouvelable et déchets";0,3153;Données Consolidées
2007-06;"Thermique renouvelable et déchets";0,3153;Données Consolidées
2007-07;"Thermique renouvelable et déchets";0,3153;Données Consolidées
2007-08;"Thermique renouvelable et déchets";0,3153;Données Consolidées
2007-09;"Thermique renouvelable et déchets";0,3153;Données Consolidées
2007-10;"Thermique renouvelable et déchets";0,3153;Données Consolidées
2007-11;"Thermique renouvelable et déchets";0,3153;Données Consolidées
2007-12;"Thermique renouvelable et déchets";0,3153;Données Consolidées
2008-01;"Thermique renouvelable et déchets";0,3434;Données Consolidées
2008-02;"Thermique renouvelable et déchets";0,3434;Données Consolidées
2008-03;"Thermique renouvelable et déchets";0,3434;Données Consolidées
2008-04;"Thermique renouvelable et déchets";0,3434;Données Consolidées
2008-05;"Thermique renouvelable et déchets";0,3434;Données Consolidées
2008-06;"Thermique renouvelable et déchets";0,3434;Données Consolidées
2008-07;"Thermique renouvelable et déchets";0,3434;Données Consolidées
2008-08;"Thermique renouvelable et déchets";0,3434;Données Consolidées
2008-09;"Thermique renouvelable et déchets";0,3434;Données Consolidées
2008-10;"Thermique renouvelable et déchets";0,3434;Données Consolidées
2008-11;"Thermique renouvelable et déchets";0,3434;Données Consolidées
2008-12;"Thermique renouvelable et déchets";0,3434;Données Consolidées
2009-01;"Thermique renouvelable et déchets";0,3618;Données Consolidées
2009-02;"Thermique renouvelable et déchets";0,3618;Données Consolidées
2009-03;"Thermique renouvelable et déchets";0,3618;Données Consolidées
2009-04;"Thermique renouvelable et déchets";0,3618;Données Consolidées
2009-05;"Thermique renouvelable et déchets";0,3618;Données Consolidées
2009-06;"Thermique renouvelable et déchets";0,3618;Données Consolidées
2009-07;"Thermique renouvelable et déchets";0,3618;Données Consolidées
2009-08;"Thermique renouvelable et déchets";0,3618;Données Consolidées
2009-09;"Thermique renouvelable et déchets";0,3618;Données Consolidées
2009-10;"Thermique renouvelable et déchets";0,3618;Données Consolidées
2009-11;"Thermique renouvelable et déchets";0,3618;Données Consolidées
2009-12;"Thermique renouvelable et déchets";0,3618;Données Consolidées
2010-01;"Thermique renouvelable et déchets";0,422;Données Consolidées
2010-02;"Thermique renouvelable et déchets";0,386;Données Consolidées
2010-03;"Thermique renouvelable et déchets";0,429;Données Consolidées
2010-04;"Thermique renouvelable et déchets";0,37;Données Consolidées
2010-05;"Thermique renouvelable et déchets";0,408;Données Consolidées
2010-06;"Thermique renouvelable et déchets";0,377;Données Consolidées
2010-07;"Thermique renouvelable et déchets";0,4;Données Consolidées
2010-08;"Thermique renouvelable et déchets";0,421;Données Consolidées
2010-09;"Thermique renouvelable et déchets";0,359;Données Consolidées
2010-10;"Thermique renouvelable et déchets";0,361;Données Consolidées
2010-11;"Thermique renouvelable et déchets";0,457;Données Consolidées
2010-12;"Thermique renouvelable et déchets";0,462;Données Consolidées
2011-01;"Thermique renouvelable et déchets";0,477;Données Consolidées
2011-02;"Thermique renouvelable et déchets";0,433;Données Consolidées
2011-03;"Thermique renouvelable et déchets";0,51;Données Consolidées
2011-04;"Thermique renouvelable et déchets";0,413;Données Consolidées
2011-05;"Thermique renouvelable et déchets";0,426;Données Consolidées
2011-06;"Thermique renouvelable et déchets";0,421;Données Consolidées
2011-07;"Thermique renouvelable et déchets";0,485;Données Consolidées
2011-08;"Thermique renouvelable et déchets";0,481;Données Consolidées
2011-09;"Thermique renouvelable et déchets";0,418;Données Consolidées
2011-10;"Thermique renouvelable et déchets";0,404;Données Consolidées
2011-11;"Thermique renouvelable et déchets";0,487;Données Consolidées
2011-12;"Thermique renouvelable et déchets";0,509;Données Consolidées
2012-01;"Thermique renouvelable et déchets";0,514;Données Consolidées
2012-02;"Thermique renouvelable et déchets";0,453;Données Consolidées
2012-03;"Thermique renouvelable et déchets";0,532;Données Consolidées
2012-04;"Thermique renouvelable et déchets";0,405;Données Consolidées
2012-05;"Thermique renouvelable et déchets";0,468;Données Consolidées
2012-06;"Thermique renouvelable et déchets";0,437;Données Consolidées
2012-07;"Thermique renouvelable et déchets";0,514;Données Consolidées
2012-08;"Thermique renouvelable et déchets";0,486;Données Consolidées
2012-09;"Thermique renouvelable et déchets";0,47;Données Consolidées
2012-10;"Thermique renouvelable et déchets";0,45;Données Consolidées
2012-11;"Thermique renouvelable et déchets";0,514;Données Consolidées
2012-12;"Thermique renouvelable et déchets";0,525;Données Consolidées
2013-01;"Thermique renouvelable et déchets";0,654138951;Données Consolidées
2013-02;"Thermique renouvelable et déchets";0,595340774;Données Consolidées
2013-03;"Thermique renouvelable et déchets";0,642299727;Données Consolidées
2013-04;"Thermique renouvelable et déchets";0,469134032;Données Consolidées
2013-05;"Thermique renouvelable et déchets";0,537286852;Données Consolidées
2013-06;"Thermique renouvelable et déchets";0,508404237;Données Consolidées
2013-07;"Thermique renouvelable et déchets";0,576837077;Données Consolidées
2013-08;"Thermique renouvelable et déchets";0,584230247;Données Consolidées
2013-09;"Thermique renouvelable et déchets";0,524964301;Données Consolidées
2013-10;"Thermique renouvelable et déchets";0,607094095;Données Consolidées
2013-11;"Thermique renouvelable et déchets";0,663212903;Données Consolidées
2013-12;"Thermique renouvelable et déchets";0,680425625;Données Consolidées
2014-01;"Thermique renouvelable et déchets";0,62317750476;Données Consolidées
2014-02;"Thermique renouvelable et déchets";0,571703454394;Données Consolidées
2014-03;"Thermique renouvelable et déchets";0,617816473595;Données Consolidées
2014-04;"Thermique renouvelable et déchets";0,532218103217;Données Consolidées
2014-05;"Thermique renouvelable et déchets";0,607583116075;Données Consolidées
2014-06;"Thermique renouvelable et déchets";0,531292348289;Données Consolidées
2014-07;"Thermique renouvelable et déchets";0,596770141244;Données Consolidées
2014-08;"Thermique renouvelable et déchets";0,588904145109;Données Consolidées
2014-09;"Thermique renouvelable et déchets";0,54681935572;Données Consolidées
2014-10;"Thermique renouvelable et déchets";0,562182227613;Données Consolidées
2014-11;"Thermique renouvelable et déchets";0,646019676643;Données Consolidées
2014-12;"Thermique renouvelable et déchets";0,670007762376;Données Consolidées
2015-01;"Thermique renouvelable et déchets";0,671880527741;Données Consolidées
2015-02;"Thermique renouvelable et déchets";0,617985990029;Données Consolidées
2015-03;"Thermique renouvelable et déchets";0,676755198209;Données Consolidées
2015-04;"Thermique renouvelable et déchets";0,571243585832;Données Consolidées
2015-05;"Thermique renouvelable et déchets";0,625299532673;Données Consolidées
2015-06;"Thermique renouvelable et déchets";0,587373750828;Données Consolidées
2015-07;"Thermique renouvelable et déchets";0,64228931539;Données Consolidées
2015-08;"Thermique renouvelable et déchets";0,655699488697;Données Consolidées
2015-09;"Thermique renouvelable et déchets";0,630032062652;Données Consolidées
2015-10;"Thermique renouvelable et déchets";0,613532084185;Données Consolidées
2015-11;"Thermique renouvelable et déchets";0,699571102105;Données Consolidées
2015-12;"Thermique renouvelable et déchets";0,732330738628;Données Consolidées
2016-01;"Thermique renouvelable et déchets";0,756720545339;Données Consolidées
2016-02;"Thermique renouvelable et déchets";0,70423848651;Données Consolidées
2016-03;"Thermique renouvelable et déchets";0,754648901005;Données Consolidées
2016-04;"Thermique renouvelable et déchets";0,678449288401;Données Consolidées
2016-05;"Thermique renouvelable et déchets";0,707379474526;Données Consolidées
2016-06;"Thermique renouvelable et déchets";0,64421161937;Données Consolidées
2016-07;"Thermique renouvelable et déchets";0,742567222168;Données Consolidées
2016-08;"Thermique renouvelable et déchets";0,719655377471;Données Consolidées
2016-09;"Thermique renouvelable et déchets";0,674823312338;Données Consolidées
2016-10;"Thermique renouvelable et déchets";0,667293653501;Données Consolidées
2016-11;"Thermique renouvelable et déchets";0,767660643912;Données Consolidées
2016-12;"Thermique renouvelable et déchets";0,80163016314;Données Consolidées
2017-01;"Thermique renouvelable et déchets";0,811097487534;Données Consolidées
2017-02;"Thermique renouvelable et déchets";0,720034625213;Données Consolidées
2017-03;"Thermique renouvelable et déchets";0,775923466528;Données Consolidées
2017-04;"Thermique renouvelable et déchets";0,728119366262;Données Consolidées
2017-05;"Thermique renouvelable et déchets";0,73578900897;Données Consolidées
2017-06;"Thermique renouvelable et déchets";0,751845510517;Données Consolidées
2017-07;"Thermique renouvelable et déchets";0,814755078275;Données Consolidées
2017-08;"Thermique renouvelable et déchets";0,782920786109;Données Consolidées
2017-09;"Thermique renouvelable et déchets";0,762142295582;Données Consolidées
2017-10;"Thermique renouvelable et déchets";0,759278088197;Données Consolidées
2017-11;"Thermique renouvelable et déchets";0,851864742896;Données Consolidées
2017-12;"Thermique renouvelable et déchets";0,830558563334;Données Consolidées
2018-01;"Thermique renouvelable et déchets";0,785421968676;Données Consolidées
2018-02;"Thermique renouvelable et déchets";0,760034977669;Données Consolidées
2018-03;"Thermique renouvelable et déchets";0,789498431756;Données Consolidées
2018-04;"Thermique renouvelable et déchets";0,792229676175;Données Consolidées
2018-05;"Thermique renouvelable et déchets";0,81394350724;Données Consolidées
2018-06;"Thermique renouvelable et déchets";0,728608114149;Données Consolidées
2018-07;"Thermique renouvelable et déchets";0,817148619188;Données Consolidées
2018-08;"Thermique renouvelable et déchets";0,807386442496;Données Consolidées
2018-09;"Thermique renouvelable et déchets";0,801235639723;Données Consolidées
2018-10;"Thermique renouvelable et déchets";0,767413681777;Données Consolidées
2018-11;"Thermique renouvelable et déchets";0,785053427479;Données Consolidées
2018-12;"Thermique renouvelable et déchets";0,832775414663;Données Consolidées
2019-01;"Thermique renouvelable et déchets";0,826128890534;Données Consolidées
2019-02;"Thermique renouvelable et déchets";0,75797891029;Données Consolidées
2019-03;"Thermique renouvelable et déchets";0,842881565073;Données Consolidées
2019-04;"Thermique renouvelable et déchets";0,747049770562;Données Consolidées
2019-05;"Thermique renouvelable et déchets";0,814589201241;Données Consolidées
2019-06;"Thermique renouvelable et déchets";0,718302795493;Données Consolidées
2019-07;"Thermique renouvelable et déchets";0,771851169406;Données Consolidées
2019-08;"Thermique renouvelable et déchets";0,86836446274;Données Consolidées
2019-09;"Thermique renouvelable et déchets";0,761883277792;Données Consolidées
2019-10;"Thermique renouvelable et déchets";0,754992010214;Données Consolidées
2019-11;"Thermique renouvelable et déchets";0,793164612379;Données Consolidées
2019-12;"Thermique renouvelable et déchets";0,827177133765;Données Consolidées
2020-01;"Thermique renouvelable et déchets";0,829140631929;Données Consolidées
2020-02;"Thermique renouvelable et déchets";0,781483657859;Données Consolidées
2020-03;"Thermique renouvelable et déchets";0,849204679439;Données Consolidées
2020-04;"Thermique renouvelable et déchets";0,813786133326;Données Consolidées
2020-05;"Thermique renouvelable et déchets";0,830876599164;Données Consolidées
2020-06;"Thermique renouvelable et déchets";0,794151711301;Données Consolidées
2020-07;"Thermique renouvelable et déchets";0,829793115858;Données Consolidées
2020-08;"Thermique renouvelable et déchets";0,804503956461;Données Consolidées
2020-09;"Thermique renouvelable et déchets";0,753483552603;Données Consolidées
2020-10;"Thermique renouvelable et déchets";0,741605348185;Données Consolidées
2020-11;"Thermique renouvelable et déchets";0,769599547349;Données Consolidées
2020-12;"Thermique renouvelable et déchets";0,814550774472;Données Consolidées
2021-01;"Thermique renouvelable et déchets";0,837861955859;Données Consolidées
2021-02;"Thermique renouvelable et déchets";0,766739452797;Données Consolidées
2021-03;"Thermique renouvelable et déchets";0,849636906781;Données Consolidées
2021-04;"Thermique renouvelable et déchets";0,789937717898;Données Consolidées
2021-05;"Thermique renouvelable et déchets";0,83886775923;Données Consolidées
2021-06;"Thermique renouvelable et déchets";0,780021492498;Données Consolidées
2021-07;"Thermique renouvelable et déchets";0,903282751788;Données Consolidées
2021-08;"Thermique renouvelable et déchets";0,860597936037;Données Consolidées
2021-09;"Thermique renouvelable et déchets";0,81283048855;Données Consolidées
2021-10;"Thermique renouvelable et déchets";0,831707176861;Données Consolidées
2021-11;"Thermique renouvelable et déchets";0,834926014383;Données Consolidées
2021-12;"Thermique renouvelable et déchets";0,85589721684;Données Consolidées
2022-01;"Thermique renouvelable et déchets";0,876530951935;Données Consolidées
2022-02;"Thermique renouvelable et déchets";0,855652780243;Données Consolidées
2022-03;"Thermique renouvelable et déchets";0,929478285359;Données Consolidées
2022-04;"Thermique renouvelable et déchets";0,858299271849;Données Consolidées
2022-05;"Thermique renouvelable et déchets";0,963917276662;Données Consolidées
2022-06;"Thermique renouvelable et déchets";0,841658403655;Données Consolidées
2022-07;"Thermique renouvelable et déchets";0,885948236117;Données Consolidées
2022-08;"Thermique renouvelable et déchets";0,859076997076;Données Consolidées
2022-09;"Thermique renouvelable et déchets";0,882213510215;Données Consolidées
2022-10;"Thermique renouvelable et déchets";0,831126417278;Données Consolidées
2022-11;"Thermique renouvelable et déchets";0,856226472673;Données Consolidées
2022-12;"Thermique renouvelable et déchets";0,906967310601;Données Consolidées
2023-01;"Thermique renouvelable et déchets";0,876791999017;Données Consolidées
2023-02;"Thermique renouvelable et déchets";0,810330302546;Données Consolidées
2023-03;"Thermique renouvelable et déchets";0,8714870158;Données Consolidées
2023-04;"Thermique renouvelable et déchets";0,85085204857;Données Consolidées
2023-05;"Thermique renouvelable et déchets";0,92407585806;Données Consolidées
2023-06;"Thermique renouvelable et déchets";0,822333527157;Données Consolidées
2023-07;"Thermique renouvelable et déchets";0,912293000045;Données Consolidées
2023-08;"Thermique renouvelable et déchets";0,891666722651;Données Consolidées
2023-09;"Thermique renouvelable et déchets";0,831954486804;Données Consolidées
2023-10;"Thermique renouvelable et déchets";0,827707008678;Données Consolidées
2023-11;"Thermique renouvelable et déchets";0,837492347513;Données Consolidées
2023-12;"Thermique renouvelable et déchets";0,911271614865;Données Consolidées
2024-01;"Thermique renouvelable et déchets";0,873797522393;Données Consolidées
2024-02;"Thermique renouvelable et déchets";0,859333207018;Données Consolidées
2024-03;"Thermique renouvelable et déchets";0,877414576615;Données Consolidées
2024-04;"Thermique renouvelable et déchets";0,823439988514;Données Consolidées
2024-05;"Thermique renouvelable et déchets";0,889485390647;Données Consolidées
2024-06;"Thermique renouvelable et déchets";0,824373125791;Données Consolidées
2024-07;"Thermique renouvelable et déchets";0,914275146687;Données Consolidées
2024-08;"Thermique renouvelable et déchets";0,909595312179;Données Consolidées
2024-09;"Thermique renouvelable et déchets";0,838218096135;Données Consolidées
2024-10;"Thermique renouvelable et déchets";0,66541175;Données provisoires
1995-01;"Production totale";48,32;Données Consolidées
1995-02;"Production totale";39,49;Données Consolidées
1995-03;"Production totale";44,41;Données Consolidées
1995-04;"Production totale";38,4;Données Consolidées
1995-05;"Production totale";36,53;Données Consolidées
1995-06;"Production totale";35,27;Données Consolidées
1995-07;"Production totale";35,98;Données Consolidées
1995-08;"Production totale";34,21;Données Consolidées
1995-09;"Production totale";35,45;Données Consolidées
1995-10;"Production totale";37,35;Données Consolidées
1995-11;"Production totale";41,81;Données Consolidées
1995-12;"Production totale";44,15;Données Consolidées
1996-01;"Production totale";47,75;Données Consolidées
1996-02;"Production totale";45,87;Données Consolidées
1996-03;"Production totale";44,59;Données Consolidées
1996-04;"Production totale";39,58;Données Consolidées
1996-05;"Production totale";37,73;Données Consolidées
1996-06;"Production totale";35,21;Données Consolidées
1996-07;"Production totale";36,66;Données Consolidées
1996-08;"Production totale";33,79;Données Consolidées
1996-09;"Production totale";36,25;Données Consolidées
1996-10;"Production totale";40,84;Données Consolidées
1996-11;"Production totale";43,56;Données Consolidées
1996-12;"Production totale";47,99;Données Consolidées
1997-01;"Production totale";49,59;Données Consolidées
1997-02;"Production totale";41,36;Données Consolidées
1997-03;"Production totale";40,28;Données Consolidées
1997-04;"Production totale";39,84;Données Consolidées
1997-05;"Production totale";36,94;Données Consolidées
1997-06;"Production totale";35,61;Données Consolidées
1997-07;"Production totale";36,83;Données Consolidées
1997-08;"Production totale";34,63;Données Consolidées
1997-09;"Production totale";35,96;Données Consolidées
1997-10;"Production totale";41,12;Données Consolidées
1997-11;"Production totale";42,49;Données Consolidées
1997-12;"Production totale";46,31;Données Consolidées
1998-01;"Production totale";48,66;Données Consolidées
1998-02;"Production totale";43,12;Données Consolidées
1998-03;"Production totale";44,82;Données Consolidées
1998-04;"Production totale";41,53;Données Consolidées
1998-05;"Production totale";37,81;Données Consolidées
1998-06;"Production totale";36,43;Données Consolidées
1998-07;"Production totale";35,98;Données Consolidées
1998-08;"Production totale";30,74;Données Consolidées
1998-09;"Production totale";34,6;Données Consolidées
1998-10;"Production totale";41;Données Consolidées
1998-11;"Production totale";44,66;Données Consolidées
1998-12;"Production totale";47,62;Données Consolidées
1999-01;"Production totale";47,46;Données Consolidées
1999-02;"Production totale";44,55;Données Consolidées
1999-03;"Production totale";44,47;Données Consolidées
1999-04;"Production totale";41,45;Données Consolidées
1999-05;"Production totale";37,24;Données Consolidées
1999-06;"Production totale";36,53;Données Consolidées
1999-07;"Production totale";38,26;Données Consolidées
1999-08;"Production totale";35,63;Données Consolidées
1999-09;"Production totale";37,72;Données Consolidées
1999-10;"Production totale";41,99;Données Consolidées
1999-11;"Production totale";45,65;Données Consolidées
1999-12;"Production totale";49,35;Données Consolidées
2000-01;"Production totale";50,13;Données Consolidées
2000-02;"Production totale";45,88;Données Consolidées
2000-03;"Production totale";46,86;Données Consolidées
2000-04;"Production totale";42,8;Données Consolidées
2000-05;"Production totale";39,85;Données Consolidées
2000-06;"Production totale";38,05;Données Consolidées
2000-07;"Production totale";38,75;Données Consolidées
2000-08;"Production totale";37,1;Données Consolidées
2000-09;"Production totale";38,41;Données Consolidées
2000-10;"Production totale";42,83;Données Consolidées
2000-11;"Production totale";47,28;Données Consolidées
2000-12;"Production totale";48,75;Données Consolidées
2001-01;"Production totale";51,48;Données Consolidées
2001-02;"Production totale";44,68;Données Consolidées
2001-03;"Production totale";46,63;Données Consolidées
2001-04;"Production totale";42,85;Données Consolidées
2001-05;"Production totale";39,84;Données Consolidées
2001-06;"Production totale";37,95;Données Consolidées
2001-07;"Production totale";39,59;Données Consolidées
2001-08;"Production totale";37,06;Données Consolidées
2001-09;"Production totale";39,31;Données Consolidées
2001-10;"Production totale";43,55;Données Consolidées
2001-11;"Production totale";48,88;Données Consolidées
2001-12;"Production totale";52,22;Données Consolidées
2002-01;"Production totale";52,86;Données Consolidées
2002-02;"Production totale";45,42;Données Consolidées
2002-03;"Production totale";47,49;Données Consolidées
2002-04;"Production totale";43,9;Données Consolidées
2002-05;"Production totale";42,51;Données Consolidées
2002-06;"Production totale";39,84;Données Consolidées
2002-07;"Production totale";40,37;Données Consolidées
2002-08;"Production totale";37,06;Données Consolidées
2002-09;"Production totale";40,02;Données Consolidées
2002-10;"Production totale";44,82;Données Consolidées
2002-11;"Production totale";48,3;Données Consolidées
2002-12;"Production totale";52,94;Données Consolidées
2003-01;"Production totale";56,25;Données Consolidées
2003-02;"Production totale";50,85;Données Consolidées
2003-03;"Production totale";48,35;Données Consolidées
2003-04;"Production totale";43,62;Données Consolidées
2003-05;"Production totale";40,89;Données Consolidées
2003-06;"Production totale";39,11;Données Consolidées
2003-07;"Production totale";40,29;Données Consolidées
2003-08;"Production totale";36,84;Données Consolidées
2003-09;"Production totale";38,49;Données Consolidées
2003-10;"Production totale";44,99;Données Consolidées
2003-11;"Production totale";48,62;Données Consolidées
2003-12;"Production totale";53,81;Données Consolidées
2004-01;"Production totale";55,46;Données Consolidées
2004-02;"Production totale";49,03;Données Consolidées
2004-03;"Production totale";50,1;Données Consolidées
2004-04;"Production totale";43,9;Données Consolidées
2004-05;"Production totale";41,78;Données Consolidées
2004-06;"Production totale";39,81;Données Consolidées
2004-07;"Production totale";40;Données Consolidées
2004-08;"Production totale";37,67;Données Consolidées
2004-09;"Production totale";40,23;Données Consolidées
2004-10;"Production totale";45,42;Données Consolidées
2004-11;"Production totale";49,94;Données Consolidées
2004-12;"Production totale";55,38;Données Consolidées
2005-01;"Production totale";54,63;Données Consolidées
2005-02;"Production totale";49,67;Données Consolidées
2005-03;"Production totale";49,78;Données Consolidées
2005-04;"Production totale";43,71;Données Consolidées
2005-05;"Production totale";42,6;Données Consolidées
2005-06;"Production totale";41,04;Données Consolidées
2005-07;"Production totale";39,88;Données Consolidées
2005-08;"Production totale";39,12;Données Consolidées
2005-09;"Production totale";40,73;Données Consolidées
2005-10;"Production totale";43,56;Données Consolidées
2005-11;"Production totale";49,91;Données Consolidées
2005-12;"Production totale";55,5;Données Consolidées
2006-01;"Production totale";55,97;Données Consolidées
2006-02;"Production totale";48,18;Données Consolidées
2006-03;"Production totale";50,15;Données Consolidées
2006-04;"Production totale";45,27;Données Consolidées
2006-05;"Production totale";42,64;Données Consolidées
2006-06;"Production totale";40,49;Données Consolidées
2006-07;"Production totale";40,48;Données Consolidées
2006-08;"Production totale";39,02;Données Consolidées
2006-09;"Production totale";41,29;Données Consolidées
2006-10;"Production totale";44,3;Données Consolidées
2006-11;"Production totale";48,25;Données Consolidées
2006-12;"Production totale";53,06;Données Consolidées
2007-01;"Production totale";53,5;Données Consolidées
2007-02;"Production totale";48,24;Données Consolidées
2007-03;"Production totale";50,5;Données Consolidées
2007-04;"Production totale";41,14;Données Consolidées
2007-05;"Production totale";41,35;Données Consolidées
2007-06;"Production totale";41,12;Données Consolidées
2007-07;"Production totale";41,2;Données Consolidées
2007-08;"Production totale";40,37;Données Consolidées
2007-09;"Production totale";40,79;Données Consolidées
2007-10;"Production totale";45,62;Données Consolidées
2007-11;"Production totale";47,47;Données Consolidées
2007-12;"Production totale";53,49;Données Consolidées
2008-01;"Production totale";54,92;Données Consolidées
2008-02;"Production totale";50,25;Données Consolidées
2008-03;"Production totale";50,19;Données Consolidées
2008-04;"Production totale";45,95;Données Consolidées
2008-05;"Production totale";41,72;Données Consolidées
2008-06;"Production totale";40,33;Données Consolidées
2008-07;"Production totale";41,03;Données Consolidées
2008-08;"Production totale";38,74;Données Consolidées
2008-09;"Production totale";39,95;Données Consolidées
2008-10;"Production totale";42,9;Données Consolidées
2008-11;"Production totale";48,24;Données Consolidées
2008-12;"Production totale";54,95;Données Consolidées
2009-01;"Production totale";58,13;Données Consolidées
2009-02;"Production totale";50,56;Données Consolidées
2009-03;"Production totale";49,43;Données Consolidées
2009-04;"Production totale";40,88;Données Consolidées
2009-05;"Production totale";39,66;Données Consolidées
2009-06;"Production totale";36,3;Données Consolidées
2009-07;"Production totale";37,09;Données Consolidées
2009-08;"Production totale";35,38;Données Consolidées
2009-09;"Production totale";36,19;Données Consolidées
2009-10;"Production totale";39,78;Données Consolidées
2009-11;"Production totale";43,56;Données Consolidées
2009-12;"Production totale";52,19;Données Consolidées
2010-01;"Production totale";56,54;Données Consolidées
2010-02;"Production totale";50,41;Données Consolidées
2010-03;"Production totale";51,07;Données Consolidées
2010-04;"Production totale";41,69;Données Consolidées
2010-05;"Production totale";39,85;Données Consolidées
2010-06;"Production totale";40,22;Données Consolidées
2010-07;"Production totale";41,06;Données Consolidées
2010-08;"Production totale";39,5;Données Consolidées
2010-09;"Production totale";39,22;Données Consolidées
2010-10;"Production totale";42,12;Données Consolidées
2010-11;"Production totale";49,44;Données Consolidées
2010-12;"Production totale";58,97;Données Consolidées
2011-01;"Production totale";58,23;Données Consolidées
2011-02;"Production totale";50,39;Données Consolidées
2011-03;"Production totale";50,7;Données Consolidées
2011-04;"Production totale";41,03;Données Consolidées
2011-05;"Production totale";41,07;Données Consolidées
2011-06;"Production totale";40,35;Données Consolidées
2011-07;"Production totale";40,91;Données Consolidées
2011-08;"Production totale";38,5;Données Consolidées
2011-09;"Production totale";38,97;Données Consolidées
2011-10;"Production totale";42,44;Données Consolidées
2011-11;"Production totale";46,27;Données Consolidées
2011-12;"Production totale";53,65;Données Consolidées
2012-01;"Production totale";57,18;Données Consolidées
2012-02;"Production totale";54,42;Données Consolidées
2012-03;"Production totale";48,59;Données Consolidées
2012-04;"Production totale";44,19;Données Consolidées
2012-05;"Production totale";40,43;Données Consolidées
2012-06;"Production totale";37,52;Données Consolidées
2012-07;"Production totale";37,91;Données Consolidées
2012-08;"Production totale";36,34;Données Consolidées
2012-09;"Production totale";38,03;Données Consolidées
2012-10;"Production totale";42,99;Données Consolidées
2012-11;"Production totale";49,23;Données Consolidées
2012-12;"Production totale";54,72;Données Consolidées
2013-01;"Production totale";57,74;Données Consolidées
2013-02;"Production totale";52,26;Données Consolidées
2013-03;"Production totale";51,88;Données Consolidées
2013-04;"Production totale";44,12;Données Consolidées
2013-05;"Production totale";43,38;Données Consolidées
2013-06;"Production totale";39,34;Données Consolidées
2013-07;"Production totale";40,85;Données Consolidées
2013-08;"Production totale";38,43;Données Consolidées
2013-09;"Production totale";38,6;Données Consolidées
2013-10;"Production totale";41,76;Données Consolidées
2013-11;"Production totale";48,53;Données Consolidées
2013-12;"Production totale";53,57;Données Consolidées
2014-01;"Production totale";55,74;Données Consolidées
2014-02;"Production totale";49,33;Données Consolidées
2014-03;"Production totale";48,03;Données Consolidées
2014-04;"Production totale";40,57;Données Consolidées
2014-05;"Production totale";41,64;Données Consolidées
2014-06;"Production totale";39,14;Données Consolidées
2014-07;"Production totale";42,51;Données Consolidées
2014-08;"Production totale";39,22;Données Consolidées
2014-09;"Production totale";38,99;Données Consolidées
2014-10;"Production totale";41,16;Données Consolidées
2014-11;"Production totale";46,93;Données Consolidées
2014-12;"Production totale";54,53;Données Consolidées
2015-01;"Production totale";58,1;Données Consolidées
2015-02;"Production totale";51,97;Données Consolidées
2015-03;"Production totale";50,5;Données Consolidées
2015-04;"Production totale";41,35;Données Consolidées
2015-05;"Production totale";40,48;Données Consolidées
2015-06;"Production totale";39,76;Données Consolidées
2015-07;"Production totale";41,54;Données Consolidées
2015-08;"Production totale";38,81;Données Consolidées
2015-09;"Production totale";38,93;Données Consolidées
2015-10;"Production totale";44,38;Données Consolidées
2015-11;"Production totale";47,38;Données Consolidées
2015-12;"Production totale";51,59;Données Consolidées
2016-01;"Production totale";55,9;Données Consolidées
2016-02;"Production totale";51,9;Données Consolidées
2016-03;"Production totale";51,96;Données Consolidées
2016-04;"Production totale";43,1;Données Consolidées
2016-05;"Production totale";40,58;Données Consolidées
2016-06;"Production totale";39,96;Données Consolidées
2016-07;"Production totale";38,38;Données Consolidées
2016-08;"Production totale";35,98;Données Consolidées
